OST:StopArea:0128820501,NSR:Quay:391
AKT:StopArea:1032133901,NSR:Quay:392
OST:StopArea:0128822501,NSR:Quay:393
AKT:StopArea:1032407601,NSR:Quay:394
OST:StopArea:0128822002,NSR:Quay:395
AKT:StopArea:1032140101,NSR:Quay:396
OST:StopArea:0128820001,NSR:Quay:397
AKT:StopArea:1034148501,NSR:Quay:398
AKT:StopArea:1034149901,NSR:Quay:399
AKT:StopArea:1034148101,NSR:Quay:400
AKT:StopArea:1034149201,NSR:Quay:401
AKT:StopArea:1034146901,NSR:Quay:402
AKT:StopArea:1034145701,NSR:Quay:403
AKT:StopArea:1034144501,NSR:Quay:404
AKT:StopArea:1034248401,NSR:Quay:405
AKT:StopArea:1034148901,NSR:Quay:406
AKT:StopArea:1034144901,NSR:Quay:407
AKT:StopArea:1034248801,NSR:Quay:408
AKT:StopArea:1034249201,NSR:Quay:409
AKT:StopArea:1032136401,NSR:Quay:410
OST:StopArea:0106590501,NSR:Quay:411
OST:StopArea:0106590502,NSR:Quay:412
AKT:StopArea:1032139601,NSR:Quay:413
OST:StopArea:0106861002,NSR:Quay:414
OST:StopArea:0106861001,NSR:Quay:415
AKT:StopArea:1032137801,NSR:Quay:416
OST:StopArea:0106156003,NSR:Quay:417
OST:StopArea:0106156001,NSR:Quay:418
OST:StopArea:0106156002,NSR:Quay:419
AKT:StopArea:1032132401,NSR:Quay:420
OST:StopArea:0135155501,NSR:Quay:421
OST:StopArea:0135155502,NSR:Quay:422
AKT:StopArea:1032131201,NSR:Quay:423
OST:StopArea:0111866001,NSR:Quay:424
OST:StopArea:0111866002,NSR:Quay:425
AKT:StopArea:1032133201,NSR:Quay:426
OST:StopArea:0106592001,NSR:Quay:427
OST:StopArea:0106592002,NSR:Quay:428
AKT:StopArea:1032135001,NSR:Quay:429
OST:StopArea:0106589501,NSR:Quay:430
OST:StopArea:0106589502,NSR:Quay:431
AKT:StopArea:1034142601,NSR:Quay:432
OST:StopArea:0135154002,NSR:Quay:433
OST:StopArea:0135154001,NSR:Quay:434
AKT:StopArea:1034141601,NSR:Quay:435
OST:StopArea:0106159501,NSR:Quay:436
OST:StopArea:0106159502,NSR:Quay:437
AKT:StopArea:1032130401,NSR:Quay:438
OST:StopArea:0111864501,NSR:Quay:439
OST:StopArea:0111864502,NSR:Quay:440
AKT:StopArea:1032133801,NSR:Quay:441
OST:StopArea:0135119001,NSR:Quay:442
OST:StopArea:0135119002,NSR:Quay:443
AKT:StopArea:1032140001,NSR:Quay:444
OST:StopArea:0111870502,NSR:Quay:445
OST:StopArea:0111870501,NSR:Quay:446
NSB:StopArea:007600207,NSR:Quay:447
FLT:StopArea:7600207,NSR:Quay:447
OST:StopArea:0111869002,NSR:Quay:448
AKT:StopArea:1004368901,NSR:Quay:449
NSB:StopArea:007601421,NSR:Quay:450
FLT:StopArea:7601421,NSR:Quay:450
OST:StopArea:0106869001,NSR:Quay:451
AKT:StopArea:1004369201,NSR:Quay:452
NSB:StopArea:007601404,NSR:Quay:453
FLT:StopArea:7601404,NSR:Quay:453
OST:StopArea:0106595501,NSR:Quay:454
OST:StopArea:0106595502,NSR:Quay:455
AKT:StopArea:1003352101,NSR:Quay:456
NSB:StopArea:007601408,NSR:Quay:457
FLT:StopArea:7601408,NSR:Quay:457
OST:StopArea:0111872004,NSR:Quay:458
OST:StopArea:0111872003,NSR:Quay:459
AKT:StopArea:1003113401,NSR:Quay:460
NSB:StopArea:007600100,NSR:Quay:461
FLT:StopArea:7600100,NSR:Quay:461
OST:StopArea:0135155001,NSR:Quay:462
OST:StopArea:0135155002,NSR:Quay:463
AKT:StopArea:1003113001,NSR:Quay:464
NSB:StopArea:007601413,NSR:Quay:465
FLT:StopArea:7601413,NSR:Quay:465
OST:StopArea:0106592502,NSR:Quay:466
OST:StopArea:0106592501,NSR:Quay:467
NRI:StopArea:762116456,NSR:Quay:468
AKT:StopArea:1037120001,NSR:Quay:468
NSB:StopArea:007601402,NSR:Quay:469
FLT:StopArea:7601402,NSR:Quay:469
OST:StopArea:0106156501,NSR:Quay:470
OST:StopArea:0106156502,NSR:Quay:471
AKT:StopArea:1003407901,NSR:Quay:472
NSB:StopArea:007600220,NSR:Quay:473
FLT:StopArea:7699220,NSR:Quay:473
OST:StopArea:0111863501,NSR:Quay:474
OST:StopArea:0111863502,NSR:Quay:475
AKT:StopArea:1003345701,NSR:Quay:476
NSB:StopArea:007600180,NSR:Quay:477
FLT:StopArea:7600180,NSR:Quay:477
OST:StopArea:0135153502,NSR:Quay:478
OST:StopArea:0135153501,NSR:Quay:479
AKT:StopArea:1003351901,NSR:Quay:480
NSB:StopArea:007601405,NSR:Quay:481
FLT:StopArea:7601405,NSR:Quay:481
OST:StopArea:0106861501,NSR:Quay:482
OST:StopArea:0106861502,NSR:Quay:483
AKT:StopArea:1003351701,NSR:Quay:484
OST:StopArea:0106158001,NSR:Quay:485
OST:StopArea:0106158002,NSR:Quay:486
AKT:StopArea:1003112801,NSR:Quay:487
OST:StopArea:0111868002,NSR:Quay:488
OST:StopArea:0111868001,NSR:Quay:489
AKT:StopArea:1003351501,NSR:Quay:490
OST:StopArea:0111871001,NSR:Quay:491
OST:StopArea:0111871002,NSR:Quay:492
AKT:StopArea:1003114601,NSR:Quay:493
OST:StopArea:0106594002,NSR:Quay:494
OST:StopArea:0106594001,NSR:Quay:495
AKT:StopArea:1003355401,NSR:Quay:496
OST:StopArea:0106860001,NSR:Quay:497
OST:StopArea:0106860002,NSR:Quay:498
AKT:StopArea:1003353301,NSR:Quay:499
OST:StopArea:0111866502,NSR:Quay:500
OST:StopArea:0111866501,NSR:Quay:501
AKT:StopArea:1003114401,NSR:Quay:502
OST:StopArea:0111869502,NSR:Quay:503
OST:StopArea:0111869501,NSR:Quay:504
AKT:StopArea:1003355601,NSR:Quay:505
OST:StopArea:0111863001,NSR:Quay:506
OST:StopArea:0111863002,NSR:Quay:507
AKT:StopArea:1003408001,NSR:Quay:508
OST:StopArea:0111872501,NSR:Quay:509
OST:StopArea:0111872502,NSR:Quay:510
AKT:StopArea:1003355801,NSR:Quay:511
OST:StopArea:0106591002,NSR:Quay:512
OST:StopArea:0106591001,NSR:Quay:513
AKT:StopArea:1003345501,NSR:Quay:514
OST:StopArea:0106158502,NSR:Quay:515
OST:StopArea:0106158501,NSR:Quay:516
AKT:StopArea:1003349401,NSR:Quay:517
OST:StopArea:0106588502,NSR:Quay:518
OST:StopArea:0106588501,NSR:Quay:519
AKT:StopArea:1037131301,NSR:Quay:520
OST:StopArea:0135153001,NSR:Quay:521
OST:StopArea:0135153002,NSR:Quay:522
AKT:StopArea:1003352901,NSR:Quay:523
OST:StopArea:0111865501,NSR:Quay:524
OST:StopArea:0111865502,NSR:Quay:525
AKT:StopArea:1003352701,NSR:Quay:526
OST:StopArea:0111871501,NSR:Quay:527
OST:StopArea:0111871503,NSR:Quay:528
OST:StopArea:0111871502,NSR:Quay:529
AKT:StopArea:1003352501,NSR:Quay:530
OST:StopArea:0135118002,NSR:Quay:531
OST:StopArea:0135118001,NSR:Quay:532
AKT:StopArea:1003356301,NSR:Quay:533
OST:StopArea:0111868502,NSR:Quay:534
OST:StopArea:0111868501,NSR:Quay:535
AKT:StopArea:1003352301,NSR:Quay:536
OST:StopArea:0106596002,NSR:Quay:537
OST:StopArea:0106596001,NSR:Quay:538
AKT:StopArea:1003113601,NSR:Quay:539
OST:StopArea:0111862001,NSR:Quay:540
OST:StopArea:0111862002,NSR:Quay:541
OST:StopArea:0111873002,NSR:Quay:542
OST:StopArea:0111873001,NSR:Quay:543
OST:StopArea:0106594502,NSR:Quay:544
OST:StopArea:0106594501,NSR:Quay:545
AKT:StopArea:1003111201,NSR:Quay:546
OST:StopArea:0106591501,NSR:Quay:547
OST:StopArea:0106591502,NSR:Quay:548
AKT:StopArea:1003107001,NSR:Quay:549
RUT:StopArea:0214025002,NSR:Quay:550
OST:StopArea:0214025002,NSR:Quay:550
RUT:StopArea:0214025001,NSR:Quay:551
OST:StopArea:0214025001,NSR:Quay:551
AKT:StopArea:1003107201,NSR:Quay:552
OST:StopArea:0106860501,NSR:Quay:553
OST:StopArea:0106860502,NSR:Quay:554
AKT:StopArea:1003110801,NSR:Quay:555
OST:StopArea:0106157002,NSR:Quay:556
OST:StopArea:0106157001,NSR:Quay:557
AKT:StopArea:1003112401,NSR:Quay:558
OST:StopArea:0135118501,NSR:Quay:559
OST:StopArea:0135118502,NSR:Quay:560
AKT:StopArea:1003112701,NSR:Quay:561
OST:StopArea:0111865001,NSR:Quay:562
OST:StopArea:0111865002,NSR:Quay:563
AKT:StopArea:1003114701,NSR:Quay:564
OST:StopArea:0106990112,NSR:Quay:565
OST:StopArea:0106990109,NSR:Quay:566
OST:StopArea:0106990107,NSR:Quay:567
NRI:StopArea:762098619,NSR:Quay:568
OST:StopArea:0106990108,NSR:Quay:568
OST:StopArea:0106990106,NSR:Quay:569
AKT:StopArea:1003114501,NSR:Quay:570
OST:StopArea:0106593001,NSR:Quay:571
OST:StopArea:0106593002,NSR:Quay:572
AKT:StopArea:1003108401,NSR:Quay:573
OST:StopArea:0106590003,NSR:Quay:574
OST:StopArea:0106590004,NSR:Quay:575
AKT:StopArea:1037131201,NSR:Quay:576
OST:StopArea:0111867502,NSR:Quay:577
AKT:StopArea:1003111801,NSR:Quay:578
